customer_id,customer_name,email,company_name,industry,country,signup_date
1,Melissa Acevedo,ginabarrett@example.com,"Aguirre, Rodriguez and Marshall",Healthcare,Central African Republic,2026-05-02
2,Nathan Jones,ggregory@example.org,Howard LLC,Education,Costa Rica,2025-07-09
3,Robert Anderson,michele85@example.com,Mitchell-Hayes,Healthcare,Rwanda,2025-11-21
4,Jennifer Mcdonald,jbrown@example.net,Chavez LLC,Finance,Sweden,2026-03-02
5,Brenda Lam,amanda57@example.org,Ball-Hubbard,Retail,Tanzania,2024-07-27
6,Sean Mckee,randall78@example.com,Davis Group,Education,Belarus,2026-02-04
7,Sean Castaneda,jreed@example.com,May-Martinez,Technology,Guadeloupe,2025-12-08
8,Christopher Potts,moorelisa@example.com,Sparks Ltd,Healthcare,Namibia,2024-06-27
9,Susan Johnson,qmedina@example.net,Alexander Ltd,Healthcare,Kazakhstan,2026-06-20
10,Gabrielle Reid DVM,robertmorgan@example.net,Gonzales Group,Education,Saint Kitts and Nevis,2024-07-27
11,Bradley West,mark89@example.com,"Levine, Reilly and Mckee",Technology,Ethiopia,2024-12-08
12,Teresa Johnson,rjones@example.com,"Ruiz, Pearson and Tyler",Retail,Mayotte,2024-12-17
13,Theodore Martin,robinsonlisa@example.com,"Davis, Valencia and Jackson",Healthcare,Puerto Rico,2025-03-30
14,Keith Hodges,penajenna@example.org,Vasquez LLC,Education,Germany,2024-09-25
15,David Doyle,melissa72@example.com,Stout-Johnson,Finance,Thailand,2025-09-04
16,David Barrett,jenniferkoch@example.org,Reynolds-James,Retail,Dominican Republic,2025-06-22
17,Michael Carter,tbooth@example.net,Ramos and Sons,Healthcare,Montenegro,2025-01-09
18,Brandy Castillo,careyjoshua@example.com,Fowler PLC,Finance,Romania,2025-08-03
19,Douglas Oliver,nicole49@example.com,Mitchell Group,Healthcare,South Georgia and the South Sandwich Islands,2024-07-22
20,Donna Rangel,lfrederick@example.com,"Hanson, Salinas and Sweeney",Finance,Nicaragua,2025-12-08
21,Jorge Howard,stephaniecruz@example.com,Smith Group,Technology,Hong Kong,2024-10-17
22,Kayla Anthony,adriennewilliams@example.com,Jones-Gallagher,Retail,Algeria,2026-04-25
23,Karen Ramirez,vicki02@example.com,"Jenkins, Brewer and Hansen",Technology,Switzerland,2024-09-13
24,Cameron Nunez,brookssamuel@example.net,Booth PLC,Healthcare,Guadeloupe,2026-02-26
25,Theodore Brown,solisian@example.org,Anthony PLC,Healthcare,Samoa,2024-08-12
26,Regina Powell,michelle37@example.net,Smith-Hill,Technology,Lebanon,2025-06-07
27,Howard Rhodes,hthornton@example.org,Flores PLC,Technology,Belarus,2025-08-23
